Wavelength (nm),Reference 1,Scan_ID 1,Scan_ID 2,Scan_ID 3,Scan_ID 4,Scan_ID 5,Scan_ID 6,Scan_ID 7,Scan_ID 8,Scan_ID 9,Scan_ID 10,Scan_ID 11,Scan_ID 12,Scan_ID 13,Scan_ID 14,Scan_ID 15,Scan_ID 16,Scan_ID 17,Scan_ID 18,Scan_ID 19,Scan_ID 20,Scan_ID 21,Scan_ID 22,Scan_ID 23,Scan_ID 24,Scan_ID 25,Scan_ID 26
499.2484624134188,64041.0,63916.0,63956.0,63900.0,63891.0,64032.0,63938.0,63971.0,58832.5,58728.5,57882.5,43551.0,44621.0,44760.5,17788.0,17773.5,17652.5,1.0,30920.0,29863.5,31196.5,14201.0,13598.0,14147.5,9907.0,9743.5,9821.5
501.6568115448574,63997.0,63911.0,63960.0,63794.0,63828.0,63128.5,62838.5,63040.0,53671.0,53473.0,52903.0,39906.5,41070.0,40883.0,16287.5,16268.0,16005.5,1.0,28106.5,27515.0,28363.0,12940.0,12500.5,12866.0,8928.0,8884.5,9156.0
504.05993688804597,63963.0,63924.0,63925.0,63810.0,63847.0,60979.5,60600.0,60864.5,51115.5,50759.5,50325.5,38260.5,39091.0,38812.5,15417.0,15405.0,15181.5,1.0,26688.0,26255.5,27208.5,12421.5,11744.5,11931.5,8230.5,8325.5,8481.5
506.4578055292736,63956.0,63944.0,63880.0,63821.0,63965.0,58787.0,58607.5,58760.5,49121.0,49157.5,48673.0,36738.0,37795.0,37660.0,14911.5,14887.5,14626.0,48.5,25945.0,25476.0,26361.0,12035.5,11184.0,11388.0,8003.0,8027.0,7861.5
508.8503844177486,63892.0,63803.0,63731.0,63735.0,63803.0,57847.5,57627.5,57771.0,48230.5,48130.5,47550.0,36241.5,37325.5,37136.5,14715.0,14433.0,14489.5,17.0,25421.0,25047.5,25869.5,11543.0,10943.5,11208.5,8063.0,7873.5,7747.5
511.2376403658374,63999.0,63801.0,63799.0,63828.0,63885.0,58191.5,57904.0,58069.5,48453.0,48426.0,47598.0,36716.5,37507.0,37254.5,14779.5,14566.0,14523.5,1.0,25465.0,25191.5,25887.5,11596.5,11126.0,11304.5,8097.5,7847.0,7876.0
513.6195400493054,63933.0,63741.0,63743.0,63786.0,63832.0,59393.5,59257.5,59176.0,49363.5,49783.5,48865.5,37307.5,38139.5,38064.5,14924.5,15028.5,14818.0,1.0,26051.5,25680.0,26436.5,12015.0,11381.5,11348.0,8273.5,7935.5,8077.5
515.9960500075572,63914.0,63735.0,63704.0,63789.0,63726.0,61052.5,61240.0,60981.5,51038.0,51199.0,50466.0,38399.0,39148.0,38894.0,15312.0,15232.0,15257.5,1.0,26663.5,26374.5,27295.0,12405.0,11751.0,11677.5,8390.0,8208.5,8345.0
518.367136643875,63985.0,63932.0,63908.0,63891.0,63857.0,62769.0,63030.0,62957.0,52602.0,52839.5,52103.5,39753.5,40539.5,40049.5,15985.5,15881.0,15972.0,37.0,27781.0,27340.0,28329.5,12851.0,12289.5,12222.5,8504.5,8504.0,8699.5
520.7327662256605,63757.0,63849.0,63863.0,63771.0,63817.0,63817.0,63864.0,63747.0,54812.5,55027.0,54431.0,41329.0,42442.5,41897.5,16649.5,16875.5,16816.5,1.0,29486.5,28581.5,29703.0,13335.5,12788.5,12729.0,9004.0,8972.0,9318.5
523.0929048846738,63903.0,63831.0,63992.0,63789.0,63927.0,63897.0,63920.0,63877.0,58191.0,58465.5,57863.5,43819.5,44924.0,44698.0,17606.5,17844.5,17639.5,1.0,31388.5,30330.0,31566.5,14090.0,13457.5,13764.0,9686.0,9633.5,9962.0
525.4475186172741,64043.0,64005.0,64077.0,63922.0,63923.0,63890.0,63976.0,64029.0,62001.0,62377.0,61596.0,46977.0,47919.5,47454.5,18940.0,18899.0,19120.5,1.0,33410.0,32229.0,33440.5,15102.5,14506.0,14937.5,10356.5,10254.0,10442.5
527.7965732846587,63887.0,63825.0,63853.0,63905.0,63744.0,63780.0,63895.0,63874.0,63875.0,63842.0,63451.5,49511.5,50770.5,50038.0,20065.5,19883.5,20091.0,1.0,34700.5,33844.5,35051.0,16117.5,15550.5,15739.5,11130.0,10796.5,10962.0
530.1400346131041,64032.0,63830.0,64002.0,64039.0,63912.0,64029.0,63992.0,63979.0,63952.0,63941.0,63875.0,50551.5,52181.0,52073.5,20642.0,20526.5,20317.5,1.0,35285.5,34688.0,36089.0,16705.5,16104.0,16112.0,11577.0,11171.5,11376.5
532.4778681942053,64045.0,63957.0,64073.0,63972.0,63936.0,64023.0,63985.0,63964.0,63944.0,63925.0,63952.0,49834.0,51341.5,51185.5,20373.0,20177.5,20136.0,77.5,34974.5,34057.0,35237.0,16618.5,16068.5,15938.5,11442.0,11050.0,11294.5
534.8100394851159,63832.0,63945.0,63879.0,63794.0,63785.0,63828.0,63812.0,63799.0,62615.0,62290.5,61726.0,47420.0,48528.5,48411.0,19341.5,18964.0,19110.0,175.5,33070.0,32180.5,33114.0,15930.5,15039.0,15431.0,10801.5,10544.0,10643.0
