wl,S001,S002
549.520178,36998.571429,36998.571429
549.966475,36238.000000,36238.000000
550.412755,35732.285714,35732.285714
550.859018,35390.000000,35390.000000
551.305263,35106.285714,35106.285714
551.751491,34899.000000,34899.000000
552.197702,34881.857143,34881.857143
552.643896,34625.000000,34625.000000
553.090072,34357.000000,34357.000000
553.536231,34145.714286,34145.714286
553.982373,33797.714286,33797.714286
554.428497,33630.428571,33630.428571
554.874605,33314.571429,33314.571429
555.320694,32529.714286,32529.714286
555.766767,32395.714286,32395.714286
556.212822,32034.000000,32034.000000
556.658860,31562.714286,31562.714286
557.104880,31513.571429,31513.571429
557.550883,31064.142857,31064.142857
557.996869,31018.571429,31018.571429
558.442837,30908.571429,30908.571429
558.888788,30698.714286,30698.714286
559.334722,30642.428571,30642.428571
559.780638,30750.857143,30750.857143
560.226537,30480.714286,30480.714286
560.672418,30488.000000,30488.000000
561.118282,30408.285714,30408.285714
561.564128,30262.428571,30262.428571
562.009957,30207.857143,30207.857143
562.455768,30353.571429,30353.571429
562.901562,30232.571429,30232.571429
563.347339,30278.428571,30278.428571
563.793098,30333.000000,30333.000000
564.238839,30316.000000,30316.000000
564.684563,30578.857143,30578.857143
565.130270,30898.857143,30898.857143
565.575959,30821.000000,30821.000000
566.021630,30913.714286,30913.714286
566.467284,30806.428571,30806.428571
566.912920,30950.714286,30950.714286
567.358539,30872.714286,30872.714286
567.804140,31008.714286,31008.714286
568.249723,30549.571429,30549.571429
568.695289,30574.571429,30574.571429
569.140838,30316.714286,30316.714286
569.586369,30518.285714,30518.285714
570.031882,30525.714286,30525.714286
570.477377,30547.000000,30547.000000
570.922855,30388.285714,30388.285714
571.368315,30707.714286,30707.714286
571.813758,30832.428571,30832.428571
572.259183,30856.142857,30856.142857
572.704590,30599.571429,30599.571429
573.149980,30389.428571,30389.428571
573.595352,30378.285714,30378.285714
574.040706,30316.000000,30316.000000
574.486042,30261.571429,30261.571429
574.931361,30036.714286,30036.714286
575.376662,30189.571429,30189.571429
575.821946,30200.571429,30200.571429
576.267211,30076.714286,30076.714286
576.712459,29830.285714,29830.285714
577.157689,29468.142857,29468.142857
577.602901,28905.142857,28905.142857
578.048096,28684.571429,28684.571429
578.493273,28326.714286,28326.714286
578.938432,27966.000000,27966.000000
579.383573,27616.428571,27616.428571
579.828696,27165.714286,27165.714286
580.273802,26834.857143,26834.857143
580.718889,26710.285714,26710.285714
581.163959,26378.857143,26378.857143
581.609011,26043.142857,26043.142857
582.054046,25907.571429,25907.571429
582.499062,25554.142857,25554.142857
582.944060,25498.142857,25498.142857
583.389041,25469.000000,25469.000000
583.834004,25557.285714,25557.285714
584.278948,25428.142857,25428.142857
584.723875,25413.571429,25413.571429
585.168784,25282.428571,25282.428571
585.613675,25309.000000,25309.000000
586.058548,25408.000000,25408.000000
586.503403,25256.142857,25256.142857
586.948241,25052.142857,25052.142857
587.393060,25188.428571,25188.428571
587.837861,25148.857143,25148.857143
588.282645,25032.571429,25032.571429
588.727410,25130.285714,25130.285714
589.172157,25028.428571,25028.428571
589.616886,25200.714286,25200.714286
590.061598,25454.571429,25454.571429
590.506291,25413.285714,25413.285714
590.950966,25535.142857,25535.142857
591.395624,25820.571429,25820.571429
591.840263,25807.285714,25807.285714
592.284884,26075.285714,26075.285714
592.729487,26124.428571,26124.428571
593.174072,26014.857143,26014.857143
593.618639,26136.857143,26136.857143
594.063187,26189.714286,26189.714286
594.507718,26072.285714,26072.285714
594.952231,26234.857143,26234.857143
595.396725,26185.142857,26185.142857
595.841202,26220.428571,26220.428571
596.285660,26153.428571,26153.428571
596.730100,25992.857143,25992.857143
597.174522,25923.285714,25923.285714
597.618925,25760.714286,25760.714286
598.063311,25686.428571,25686.428571
